Car ID, 82, Car TripT, 9.72, Car DT, 1166.67, Car AT, 1156.95
Car ID, 83, Car TripT, 9.72, Car DT, 1180.95, Car AT, 1171.23
Car ID, 84, Car TripT, 9.72, Car DT, 1195.23, Car AT, 1185.52
Car ID, 85, Car TripT, 9.72, Car DT, 1209.52, Car AT, 1199.80
Car ID, 86, Car TripT, 9.72, Car DT, 1223.80, Car AT, 1214.08
Car ID, 87, Car TripT, 9.72, Car DT, 1238.08, Car AT, 1228.37
Car ID, 88, Car TripT, 9.72, Car DT, 1252.37, Car AT, 1242.65
Car ID, 89, Car TripT, 9.72, Car DT, 1266.65, Car AT, 1256.93
Car ID, 90, Car TripT, 9.72, Car DT, 1280.93, Car AT, 1271.22
Car ID, 91, Car TripT, 9.72, Car DT, 1295.22, Car AT, 1285.50
Car ID, 92, Car TripT, 9.72, Car DT, 1309.50, Car AT, 1299.78
Car ID, 93, Car TripT, 9.72, Car DT, 1323.78, Car AT, 1314.07
Car ID, 94, Car TripT, 9.72, Car DT, 1338.07, Car AT, 1328.35
Car ID, 95, Car TripT, 9.72, Car DT, 1352.35, Car AT, 1342.63
Car ID, 96, Car TripT, 9.72, Car DT, 1366.63, Car AT, 1356.92
Car ID, 97, Car TripT, 9.72, Car DT, 1380.92, Car AT, 1371.20
Car ID, 98, Car TripT, 9.72, Car DT, 1395.20, Car AT, 1385.48
Car ID, 99, Car TripT, 9.72, Car DT, 1409.48, Car AT, 1399.77
Car ID, 100, Car TripT, 9.72, Car DT, 1423.77, Car AT, 1414.05
Car ID, 101, Car TripT, 9.72, Car DT, 1438.05, Car AT, 1428.33
Car ID, 102, Car TripT, 9.72, Car DT, 1452.33, Car AT, 1442.62
Car ID, 103, Car TripT, 9.72, Car DT, 1466.62, Car AT, 1456.90
Car ID, 104, Car TripT, 9.72, Car DT, 1480.90, Car AT, 1471.18
Car ID, 105, Car TripT, 9.72, Car DT, 1495.18, Car AT, 1485.47
Car ID, 106, Car TripT, 9.72, Car DT, 1509.47, Car AT, 1499.75
Car ID, 107, Car TripT, 9.72, Car DT, 1523.75, Car AT, 1514.03
Car ID, 108, Car TripT, 9.72, Car DT, 1538.03, Car AT, 1528.32
Car ID, 109, Car TripT, 9.72, Car DT, 1552.32, Car AT, 1542.60
Car ID, 110, Car TripT, 9.72, Car DT, 1566.60, Car AT, 1556.88
Car ID, 111, Car TripT, 9.72, Car DT, 1580.88, Car AT, 1571.17
Car ID, 112, Car TripT, 9.72, Car DT, 1595.17, Car AT, 1585.45
Car ID, 113, Car TripT, 9.72, Car DT, 1609.45, Car AT, 1599.73
Car ID, 114, Car TripT, 9.72, Car DT, 1623.73, Car AT, 1614.02
Car ID, 115, Car TripT, 9.72, Car DT, 1638.02, Car AT, 1628.30
Car ID, 116, Car TripT, 9.72, Car DT, 1652.30, Car AT, 1642.58
Car ID, 117, Car TripT, 9.72, Car DT, 1666.58, Car AT, 1656.87
Car ID, 118, Car TripT, 9.72, Car DT, 1680.87, Car AT, 1671.15
Car ID, 119, Car TripT, 9.72, Car DT, 1695.15, Car AT, 1685.43
Car ID, 120, Car TripT, 9.72, Car DT, 1709.43, Car AT, 1699.72
Car ID, 121, Car TripT, 9.72, Car DT, 1723.72, Car AT, 1714.00
Car ID, 122, Car TripT, 9.72, Car DT, 1738.00, Car AT, 1728.28
Car ID, 123, Car TripT, 9.72, Car DT, 1752.28, Car AT, 1742.57
Car ID, 124, Car TripT, 9.72, Car DT, 1766.57, Car AT, 1756.85
Car ID, 125, Car TripT, 9.72, Car DT, 1780.85, Car AT, 1771.13
Car ID, 126, Car TripT, 9.72, Car DT, 1795.13, Car AT, 1785.42
Car ID, 127, Car TripT, 9.72, Car DT, 1809.42, Car AT, 1799.70
Car ID, 128, Car TripT, 9.72, Car DT, 1823.70, Car AT, 1813.98
